title,snippet,budget,job_status,category2,subcategory2,job_type,url,date_created,id,skills,client.feedback,client.reviews_count,client.jobs_posted,client.past_hires,client.country

Multi-Objective non linear optimization Problem,"A separate solution for each objective function using a nonlinear optimization library.














































A separate file on which two objective functions are evaluated using the epsilon constraint method. 














































A separate file on which six objective functions are evaluated using the epsilon constraint method.",200,Open,Data Science & Analytics,Machine Learning,Fixed,http://www.upwork.com/jobs/~0192a61f219257f6b5,2020-02-17T16:27:08+0000,~0192a61f219257f6b5,matlab; python; data-science; machine-learning,0.0,0,4,0,Pakistan

Artificial Intelligence stock prediction model,"Hello, 





























































































We are looking for an experienced data scientist with experience in financial predictions using machine learning NLP and CNN. We are open to hearing about additional solutions. 





























































































We need someone that has worked with this type of analysis before. We'll be providing data and NVIDIA GPU servers. 





























































































Please only apply for this if you have long experience in this domain. 





























































































Thanks",0,Open,Data Science & Analytics,Machine Learning,Hourly,http://www.upwork.com/jobs/~014c2ddc2833a77dc5,2020-02-17T16:09:00+0000,~014c2ddc2833a77dc5,tensorflow; quantitative-analysis; python; artificial-intelligence; machine-learning; quantitative-finance; natural-language-processing; artificial-neural-networks; data-analysis; deep-learning; statistics; data-science; predictive-analytics; analytics,4.5790870025,36,138,67,Sweden

Senior Data Scientist,"Fast growing, FinTech start-up company, providing data-driven, technology-based asset management services with a focus on investing in alternative credit, utilizing state-of-the-art machine learning algorithms to assess credit risk.





























































































We've just passed $1.2B in AUM (Assets Under Management), pushing forward for entering exciting new asset classes, including auto loans, mortgages, credit cards and more. 














































We are currently recruiting and would be happy to see you join us!





























































































Key Responsibilities:














































Design solutions for the company’s core mission using Data Science methodologies from various domains














































Take part in developing new cutting edge algorithms based on various Machine Learning techniques














































Work in a short life-cycle research and development environment














































Generate and test working hypotheses in unexplored territory












































































































































Requirements














































Track record of excellence














































Math/EE/CS/Physics/Stats graduate with an honored BSc or MSc














































Good applied statistics skills, such as distributions, statistical testing, regression, etc.














































Good scripting and programming skills, preferably in Python














































Independent and fast learner that can work alone and in teams














































Ability to learn and explore new fields of expertise














































Knowledge in some of the following can be an advantage: machine learning, predictive modeling, optimization, risk and finance",0,Open,Data Science & Analytics,Data Extraction / ETL,Hourly,http://www.upwork.com/jobs/~019f8e17a076fd1a15,2020-02-17T13:05:06+0000,~019f8e17a076fd1a15,python-pandas; jupyter,0.0,0,15,0,Ukraine

"Image Processing, Machine Learning, Matlab, Python Expert Need for Paper Implementation","I have a research paper related to image processing, detection and classification.",50,Open,Data Science & Analytics,Machine Learning,Fixed,http://www.upwork.com/jobs/~01bc0ae27bcda084a2,2020-02-17T09:39:12+0000,~01bc0ae27bcda084a2,matlab; python; deep-learning; image-processing; machine-learning,0.0,0,1,0,Pakistan

Python engineer needed for a price prediction model,"I'm looking for an experienced Python developer in development, design and testing in Django framework for a small Analytics practice.














































The candidate is expected to have a good track in applying machine learning models in python. 














































You must have min 2+ years of hands-on experience as Python developer.





























































































Only individual freelancers are needed not the agency.














































And you must be able to commit your full-time next several days.














































If you're interested, please start your application with the color of water.














































The more details will be shared with the ideal candidates.





























































































Thanks",100,Open,Data Science & Analytics,Machine Learning,Fixed,http://www.upwork.com/jobs/~01b93196cdf2717d30,2020-02-17T08:47:03+0000,~01b93196cdf2717d30,data-analysis; python; deep-learning; machine-learning,4.9329651442,13,25,19,Morocco

Convert a PyTorch image classifier to CoreML,"Help me to convert an existing PyTorch image classifier in Github to a CoreML model for use in a iOS project.





























































































Github PyTorch image classifer that I want to convert to CoreML.














































https://github.com/jungomi/math-formula-recognition





























































































Guides on converting PyTorch to CoreML.














































https://medium.com/@alexiscreuzot/building-a-neural-style-transfer-app-on-ios-with-pytorch-and-coreml-76e00cd14b28














































https://medium.com/@kuluum/pytroch-to-coreml-cheatsheet-fda57979b3c6














































https://github.com/vincentfpgarcia/from-pytorch-to-coreml",100,Open,Data Science & Analytics,Machine Learning,Fixed,http://www.upwork.com/jobs/~0179bb2fc131cb7dfb,2020-02-17T04:39:55+0000,~0179bb2fc131cb7dfb,python; pytorch; ios; machine-learning,5.0,5,5,6,Singapore

Pyspark Expert,Looking for an individual with experience in Pyspark to join my team,0,Open,Data Science & Analytics,Machine Learning,Hourly,http://www.upwork.com/jobs/~010a000e9c99dbd15f,2020-02-17T01:54:00+0000,~010a000e9c99dbd15f,python; machine-learning,4.7324421469,8,37,13,United States

Machine Learning Engineer,"We are looking for engineers to help with a machine learning project. It would be helpful if you are fluent with Cypher, but it is not a requirement.





























































































This will be predictive analytics based on a combination of google ad data and our own proprietary data. We have a significant amount of data to build the models with over a long period. (Around a billion in ad spend over the last decade)",0,Open,Data Science & Analytics,Machine Learning,Hourly,http://www.upwork.com/jobs/~01631062d9b322bf23,2020-02-17T00:54:21+0000,~01631062d9b322bf23,windows-azure; natural-language-toolkit-nltk; tensorflow; r; python; data-analysis; deep-learning; data-science; computer-vision; machine-learning,5.0,4,17,9,United States

machine learning specialist for technical lit review AI-sepsis,"Technical literature review articles 














































ML/CNN/NLP technical analysis of model performance medical condition called: sepsis",0,Open,Data Science & Analytics,Machine Learning,Hourly,http://www.upwork.com/jobs/~0188748294dc53cb44,2020-02-16T23:18:22+0000,~0188748294dc53cb44,scikit-learn; tensorflow; deeplearn.js; python; matlab; artificial-intelligence; machine-learning; natural-language-toolkit-nltk; data-analysis; deep-learning; keras; data-science; computer-vision,5.0,2,10,8,United States

"Matlab, SLAM, 3D Stereo","We are looking to utilize the Matlab toolbox provided by Stereo Labs (https://github.com/stereolabs/zed-matlab) to perform SLAM algorithms with Zed 2 camera. 












































































































































We would like to run the Zed 2 camera outdoors, collect a point cloud/photos and create a 3d high quality mesh. 





























































































The final product of this project shall be compiled into a x64 application as well as potentially to .NET as well.",0,Open,Data Science & Analytics,Machine Learning,Hourly,http://www.upwork.com/jobs/~01bf924d6dde4bfdde,2020-02-16T17:04:32+0000,~01bf924d6dde4bfdde,matlab; tensorflow; neural-networks; python; keras,4.1610487082,9,42,21,Puerto Rico

Edit Python script,"Edit a few lines in Python script.























































































The example below scrapped incorrectly:























































































Detailed Dimensions











































        mm       inches











































A    565











































22.24   B    380











































14.96   C    225











































8.86    D    360























































































The correct example:























































































Detailed Dimensions











































    mm   inches











































A 565   22.24  











































B 380   14.96











































C 225    8.86",0,Open,"Web, Mobile & Software Dev",Scripts & Utilities,Hourly,http://www.upwork.com/jobs/~0137f7244c74394f5f,2020-02-23T16:55:41+0000,~0137f7244c74394f5f,data-extraction; scripting; python,4.95,2,16,7,United Kingdom

Need Help with Python logging and AWS ELK Stack,"I want to visualize a python app logs with kibana 























































































Note: Need teamviewer and a working mic!",50,Open,"Web, Mobile & Software Dev",Other - Software Development,Fixed,http://www.upwork.com/jobs/~01f6e57dd98807dba0,2020-02-23T16:47:36+0000,~01f6e57dd98807dba0,python; aws-application,4.88930131,25,74,34,United States

Python/Django lab portal,"Modify/add functionality to a web portal to view and download pdf reports using Django/Python. Portal is for a laboratory, this laboratory will have multiple clinics say Clinic A, Clinic B and Clinic C and so on. Each clinic will be given a user name and password to access their pdf reports. Every clinic will have patients and their will be pdf reports for every patient by visit date. Lab admin will be able to create patients and visits.























































































1. In visit page, need to implement calendar filter (will show demo what it actually is)











































2. Client view need UI improvement to show clinic/patient/visit in a tree view with drill down and click on visit should view pdf report in a pdf viewer.











































3. Few other small modifications.",200,Open,"Web, Mobile & Software Dev",Web Development,Fixed,http://www.upwork.com/jobs/~016afb8fe2abe736cf,2020-02-23T16:44:31+0000,~016afb8fe2abe736cf,web-application; sqlite; python,0.0,1,3,1,United States

Simple Python and Twilio helper library debug/install,Likely first of many projects related to Twilio API. This one to assist in debugging a python script which uses the Twilio helper library to simply send an sms message. Once debugged and running properly adding a simple password to protect it. Server is linux and has mysql db.,60,Open,"Web, Mobile & Software Dev",Scripts & Utilities,Fixed,http://www.upwork.com/jobs/~0186ba3254ac72a902,2020-02-23T16:41:26+0000,~0186ba3254ac72a902,python; api-integration; scripting,0.0,0,0,0,Italy

A programmer who can teach Python online - high income,"A PYTHON programmer who has learning skills, very high-level English, and knows how to take the inexperienced to a good enough level in programming, working with people from America























































































I'm a marketer who is currently generating leads that are looking to learn coding (especially Python) 























































































The programmer must have:











































1. Coding skills (proven) 











































2. Sales oriented. 











































3. Coaching skills 











































4. Fluent English.























































































For the chosen one, I will build a sales funnel that'll give him lot's of leads to contact and close on high-value packages of 1 on 1 coaching online, I have the leads already. 























































































Please, if you're familiar with a person just like I've described connect us.",0,Open,Writing,Resumes & Cover Letters,Hourly,http://www.upwork.com/jobs/~01a03177bf76b79d3d,2020-02-23T15:16:33+0000,~01a03177bf76b79d3d,sales-deliverable; website-development; python; javascript; php; web-design; css; creative-and-talent; html5; html,0.0,0,1,0,Israel

Python contact project,"Python project of contact console base project of persons contact.it can store data in the file and then read that from that file to update ,delete contacts.It should include only three methods that is add contact, update contact ,delete contact",8,Open,"Web, Mobile & Software Dev",Scripts & Utilities,Fixed,http://www.upwork.com/jobs/~0105f0b461ca346301,2020-02-23T14:48:41+0000,~0105f0b461ca346301,python,0.0,0,0,0,Pakistan

"Odoo expert (Odoo studio, Python language) for small ERP customizations","Hello,























































































I am looking for an independent Odoo expert who can provide Odoo Studio Python code for some specific customizations of our company Odoo ERP.























































































You must have a broad knowledge of the Odoo (online) ERP platform and be capable to code different small functions in Odoo Studio.























































































The job will comprise several (relatively small) requests spread over the entire year. So it'd be ideal for someone who is already familiar with Odoo Studio code and is interested to make some extra money in a simple way.























































































We are ourselves pretty familiar with Python but do not have the time to dig too much in the Odoo views/forms/table etc.























































































Development will only to be made for the Odoo studio app mainly with the automated action function.























































































You must be fluent in english to apply.",0,Open,IT & Networking,Other - IT & Networking,Hourly,http://www.upwork.com/jobs/~0188c214cb55d7c9e2,2020-02-23T13:10:08+0000,~0188c214cb55d7c9e2,python; odoo,5.0,3,6,4,Belgium

Full-stack JavaScript developer Needed,"We are looking for a senior full-stack JavaScript developer who can manage the project from scratch to deployment.























































































You must be expertise in Web application and Restful API development using React, Node.js, Firebase.























































































REQUIRED EXPERIENCE























































































- Strong skills in ES6/TypeScript development, as well as a deep understanding of associated frontend tooling (NPM, webpack, babel, linters).











































- Strong skills in Frontend and backend development: JavaScript, TypeScript, React.JS, Node.JS, Python, Firebase, 











































- Ability to turn mockups (in Figma, Sketch or equivalent) into pixel-perfect responsive applications.











































- Functional knowledge of Git and GitHub, Bitbucket.











































- Good responsiveness and Proficient English communication skills, both written and spoken.",0,Open,"Web, Mobile & Software Dev",Web Development,Hourly,http://www.upwork.com/jobs/~012a5ef28f22c357f9,2020-02-23T12:55:28+0000,~012a5ef28f22c357f9,firebase; python; javascript; react-js; redux.js; git; typescript; web-apps,0.0,0,3,0,Canada

"Need a React, Python/Django Expert to complete the final stage of a Webpage","Looking for a React, Python/Django Expert.











































We have a project using React as Front-end and Django as Back-end, it is very advanced.











































Now we are willing to add different component to the project and developping E-mail and search fields as well to manage a cloud-server.











































the project is in its final stage for its version 1.











































we are also interested in experted and talented Developpers, who want to be a Teil-Owner and Head-manager of the  long term developping proccess",0,Open,"Web, Mobile & Software Dev",Web Development,Hourly,http://www.upwork.com/jobs/~017ec8141bd6058eec,2020-02-23T12:11:56+0000,~017ec8141bd6058eec,django-framework; git; react-js; redux; saas; website-development; api; npm; database-development; ipython; javascript; python,0.0,0,0,0,Germany

Create script/tool to scrape google search results,"Looking for python script or javascript tool to automate scraping process that can be run on a mac computer and collects/scrapes data from the google search results page. Script should also discard duplicate values. This is an ongoing project so looking for someone who will be available to continue with further projects.























































































See video description here>>>   https://youtu.be/ZFrdX7fCXuM























































































Sample data here >>> https://docs.google.com/spreadsheets/d/1T0Dpf_xiaq2qHk6g_4PSFMA7WNSu3i0NOI3UGV3vee8/edit?usp=sharing



































































































































Thank you",100,Open,"Web, Mobile & Software Dev",Scripts & Utilities,Fixed,http://www.upwork.com/jobs/~013f7efceabf317f16,2020-02-23T11:09:19+0000,~013f7efceabf317f16,automation; google-apps; google-docs; google-sheets; scrapy-framework; selenium; javascript; python; data-scraping; web-scraping,4.8252444555,14,27,25,United States

Need help installing and running open source Python program from GitHub,"I need help installing and running this open source software: https://github.com/tyiannak/pyAudioAnalysis























































































I've been unsuccessful as I dont know my way around command line/terminal, and not sure how to get the program working.























































































I need someone to remotely access my computer to install this properly.",100,Open,"Web, Mobile & Software Dev",Desktop Software Development,Fixed,http://www.upwork.com/jobs/~015a8169de7fa05881,2020-02-23T10:23:25+0000,~015a8169de7fa05881,desktop-applications; application-installer; python; windows; mac-os-x; standalone-application,4.9997303704,21,43,25,United States

Small Python Script Fix,"I have attached a small piece of code i'm working on, i feed in a part of the html i need extracted and the function should return the value needed, it is not working as i think it should, need someone to have a look at the issue.",10,Open,"Web, Mobile & Software Dev",Scripts & Utilities,Fixed,http://www.upwork.com/jobs/~016af31ac78b5b261d,2020-02-23T09:46:01+0000,~016af31ac78b5b261d,python,4.9744078073,302,738,327,United Kingdom

Adding sound to Python game,"Hi, I need some help adding sound to my python file. I will need background music for this zombie game. Also, I would like to have a sound effect play every time a gunshot is shot. If you have any other ideas to adding sound effects to this game please let me know. 











































I will need you to find me opensource .ogg files for music and sound effects and please send links to these open source music and sound effects.",10,Open,"Web, Mobile & Software Dev",Game Development,Fixed,http://www.upwork.com/jobs/~017155cb6583184334,2020-02-23T09:35:56+0000,~017155cb6583184334,python,4.8996282528,14,36,17,United States

Python Adding Sound to code,"Hi, I need some help adding sound to my python file. I will need background music for this zombie game I am making. Also, I would like to have a sound effect play every time a gunshot is shot. If you have any other ideas to adding sound effects to this game please let me know. 











































I will need you to find me opensource .ogg files for music and sound effects and please send links to these open source music and sound effects.",6,Open,"Web, Mobile & Software Dev",Other - Software Development,Fixed,http://www.upwork.com/jobs/~01fdf8109844bac280,2020-02-23T09:33:15+0000,~01fdf8109844bac280,python,5.0,6,14,7,United States

"Knowlege on Devops tools like K8s,AWS,Azure, Docker Swarm,Jenkins, Ansible,Kafka,python","Knowledge on Devops tools like Kubernetes,AWS(EC2,S3, Route 53,ELB,API Gateway,ECS,Aws CodePipelines,Cloudwatch,CloudFormation,RDS,VPC),Azure, Docker Swarm,Jenkins, Ansible,Kafka,Groovy Script,Python,GIT,ELK, Shell Script",100,Open,IT & Networking,Other - IT & Networking,Fixed,http://www.upwork.com/jobs/~015f3be125cb891f9b,2020-02-23T08:30:40+0000,~015f3be125cb891f9b,ansible; apache-tomcat; cassandra; devops; docker; git; jboss; jenkins; jfrog-artifactory; kubernetes; linux; maven; cicd-pipelines; cicd-platforms; containerization; database; amazon-web-services; python,4.9644340255,32,76,43,India

Need a custom web page that uses API's to do the things i need together.,"Need the ability to type in an address and it call on a list of google map (Customizable) polygons for minimum delivery amounts per area. 











































Type in address --> search for it on map ----> check if it is a polygon - - - -> respond with pre determined response for that polygon. Need this to be in python and be able to be put on a website.",0,Open,"Web, Mobile & Software Dev",Web Development,Hourly,http://www.upwork.com/jobs/~0122aa75c190c95c7d,2020-02-23T07:03:04+0000,~0122aa75c190c95c7d,infrastructure; nginx; api; business-logic-layer; data-access-layer; python-script; restful-api; java; python; javascript; angularjs; web-ui; backend-rest-api,0.0,0,0,0,United States

Need python code,Would like to have python code written for a particular task,0,Open,"Web, Mobile & Software Dev",Scripts & Utilities,Hourly,http://www.upwork.com/jobs/~016a270b472d3442ba,2020-02-23T06:01:35+0000,~016a270b472d3442ba,json; scripting; web-scraping; python,0.0,0,4,6,United States

use python or some similar language to populate csv with AWS ec2 pricing data,"Attached is the csv , we need to fill the below mentioned columns























































































Standard 1 Year Term no up front











































Standard 1 Year Term Partial upfront











































Standard 1 Year Term all upfront











































Standard 3 Year Term no up front











































Standard 3 Year Term Partial upfront











































Standard 3 Year Term all upfront























































































For the sheets mentioned in the csv :













































































